Product Name,Product / Color,System (G),System (Citric)
I want my mummy'22,I want my mummy,81,27
,,,0
Screamo'22,Screamo Purple,88,29.33
Screamo'22,Screamo White,15,5
,,,0
Ufo'22,Ufo Blue - Lid,32.5,10.83
Ufo'22,Ufo Yellow,140,46.67
Ufo'22,Ufo Salt mix,45,0
,,,0
Butterbear '22,Butterbear '22,92,30.67
,,,0
Crystal Snow '22,Crystal Snow WHITE,168,56
Crystal Snow '22,Crystal Snow MIX SALT,5.01,0
,,,0
Gift Horse '22,Gift Horse ORANGE,124,41.33
Gift Horse '22,Gift Horse YELLOW,8.25,2.75
,,,0
Golden Pudding '22,Golden Pudding '22 - GOLD,88,29.33
Golden Pudding '22,Golden Pudding '22 - PINK SALT,45,0
Golden Pudding '22,Golden Pudding '22 - WHITE,119.5,39.83
Golden Pudding '22,Golden Pudding '22 - SPRAY,6.3,0
,,,0
Jolly Holly '22,Jolly Holly GREEN,52.5,6.9
Jolly Holly '22,Jolly Holly RED TAPIOCA,0.33,0
,,,0
Magical Santa '22,Magical Santa ORANGE,19.5,6.5
Magical Santa '22,Magical Santa PINK,53,17.67
Magical Santa '22,Magical Santa RED,30.75,10.25
Magical Santa '22,Magical Santa WHITE,9,3
Magical Santa '22,Magical Santa YELLOW,19.5,6.5
,,,0
Moon Bath '22,Moon Bath RED,24,8
Moon Bath '22,Moon Bath WHITE,25,8.33
Moon Bath '22,Moon Bath ORANGE,123,41
Moon Bath '22,Moon Bath SPRAY,2,0
Moon Bath '22 insert,Moon Bath WHITE,25,8.33
PartridgeInAPearTree'22,Partridge In A PearTree - Orange,94,31.33
PartridgeInAPearTree'22,Partridge In A PearTree -Yellow,79.5,26.5
PartridgeInAPearTree'22,Partridge In A PearTree -Spray,10,0
,,,0
Snow Dragon '22,Snow Dragon BLUE,83,27.67
Snow Dragon '22,Snow Dragon MIXED SALTS,2.49,0
,,,0
Snow Drift '23,Snow Drift BLUE,90,30
Snow Drift '23,Snow Drift TURQUOISE,76,25.33
Snow Drift '23,Snow Drift WHITE,2.5,0.83
,,,0
Snowman FingerPuppet'22,Snowman Finger Puppet - WHITE,48.5,16.17
Snowman FingerPuppet'22,Snowman Finger Puppet - DECOR,0.5,0
,,,0
Sweet Pudding '22,Sweet Pudding PINK,160,53.33
Sweet Pudding '22,Sweet Pudding WHITE,9.5,3.17
,,,0
,,,0
,,,0
,,,0
,,,0
Christmas Party '22 GCO,Christmas Party '22 RED,169.34,56.45
Christmas Party '22 GCO,Christmas Party '22 STARS,0.14,0.05
,,,0
Bonfire Bath Bomb,Bonfire Bath Bomb,160,53.33
,,,0
,,,0
Wild Remedy Bath Bomb,Wild Remedy Bath Bomb,160.5,53.5
Broken Heart Bath Bomb,Broken Heart Bath Bomb,161,53.67
Slow Down Bath Bomb,Slow Down Bath Bomb,162,54
,,,0
Gum-Gum Fruit,Gum-Gum Fruit-dark purple,68.5,22.83
Gum-Gum Fruit,Gum-Gum Fruit-purple,75,25
,,,0
Flame-Flame Fruit,Flame-Flame Fruit-orange,95,31.67
Flame-Flame Fruit,Flame-Flame Fruit-red,37.5,12.5
Flame-Flame Fruit,Flame-Flame Fruit-yellow,37.5,12.5
,,,0
Flower-Flower Fruit,Flower-Flower Fruit-pink,88.75,29.58
Flower-Flower Fruit,Flower-Flower Fruit-tapioca,0.37,0
Flower-Flower Fruit,Flower-Flower Fruit-white,75,25
,,,0
Human-Human Fruit Top,Human-Human Fruit Top-red,100.5,33.5
Human-Human Fruit Bottom,Human-Human Fruit Bottom-white,54.75,18.25
,,,0
Seed Pod F&F BathBomb,Seed Pod F&F BathBomb,60,20
,,,0
Rangoli Dreams '22,,,0
,,,0
Cobweb '22 GCO,Cobweb '22 GCO,103.45,34.48
,,,0
Banana Ghost '22,Banana Ghost '22,75.22,9.78
,,,0
Dexter's Dragons Egg,Dexter's Dragons Egg,12,4
,,,0
Plane Leaf,Plane Leaf - Orange,33.08,11.03
Plane Leaf,Plane Leaf - Red,7.88,2.63
Plane Leaf,Plane Leaf - Yellow,37.8,12.6
,,,0
Wash Buddy,Wash Buddy - Dark Blue,20,6.67
Wash Buddy,Wash Buddy - Green,50,16.67
Wash Buddy,Wash Buddy - White,20,6.67
,,,0
Sad Face,Sad Face - Spray,3.5,1.17
Sad Face,Sad Face - Blue,38,12.67
Sad Face,Sad Face - Green,38,12.67
Sad Face,Sad Face - White,100,33.33
,,,0
Happy face,Happy face - Spray,3.5,1.17
Happy face,Happy face - Blue,38,12.67
Happy face,Happy face - Green,38,12.67
Happy face,Happy face - White,100,33.33
,,,0
Gold Rabbit'23,Gold Rabbit'23 - Spray,10,0
Gold Rabbit'23,Gold Rabbit'23 - Pink,161.25,53.75
,,,
D8,D8 - Spray - Black,5,1.67
D8,D8 - Spray - Red,2.5,0
D8,D8 - Blue,16,5.33
D8,D8 - Red,16,5.33
D8,D8 - White,135,45
,,,0
The Rift,The Rift - Spray,10,3.33
The Rift,The Rift - Orange,31.5,10.5
The Rift,The Rift - Red,65,21.67
The Rift,The Rift - Yellow,65,21.67
,,,0
Valentine Bombshell '23 - Top,Valentine Bombshell '23 - Top,131.5,43.8
Valentine Bombshell '23 - Bottom,Valentine Bombshell '23 - Bottom,131.5,43.8
,,,0
Salt Water Soother Cube,Salt Water Soother Cube - Blue,66.7,20.33
Salt Water Soother Cube,Salt Water Soother Cube - Yellow,27.6,8.41
Salt Water Soother Cube,Magnesium Sulphate - Blue,58,0
Salt Water Soother Cube,Magnesium Sulphate - Yellow,24,0
,,,
Deep Sleep Cube,Deep Sleep Cube - Pink,30.36,9.25
Deep Sleep Cube,Deep Sleep Cube - Purple,66.7,20.33
Deep Sleep Cube,Magnesium Sulphate - Pink,26.4,0
Deep Sleep Cube,Magnesium Sulphate - Purple,58,0
,,,
Birding Boat bath bomb,Birding Boat BLUE,32,10.67
Birding Boat bath bomb,Birding Boat GREEN,15,5
,,,0
There's Room '22,There's Room Green,60,20
There's Room '22,There's Room Yellow,81,27
There's Room'22 Yellow Ears,There's Room Yellow - Ears,5,1.67
There's Room'22 Pink Cheeks,There's Room PINK - Cheeks,4,1.33
,,,0
Party Kit - Toby's Magic Cow 10,Toby Party Kit (10) Blue,105,35
Party Kit - Toby's Magic Cow 10,Toby Party Kit (10) Pink,105,35
Party Kit - Toby's Magic Cow 10,Toby Party Kit (10) Purple,105,35
Party Kit - Toby's Magic Cow 10,Toby Party Kit (10) White,615,205
Party Kit - Toby's Magic Cow 10,Toby Party Kit (10) Yellow,105,35
,,,0
Tisty Tosty '23 (Mini),Tisty Tosty '23 - Pink,56,18.67
,,,0
Out Of This World,Out Of This World - Pink,21,7
Out Of This World,Out Of This World - White,55,18.33
Out Of This World,Out Of This World - Purple,21,7
Out Of This World,Out Of This World - Spray,7,0
,,,
Slammer,Slammer - Green,85,28.33
Slammer,Slammer - Yellow,85,28.33
,,,0
Tea Party '23,Tea Party '23 - Blue,0.45,0.15
Tea Party '23,Tea Party '23 - Pink,73,24.33
,,,0
Time To Relax '23,Time To Relax '23,155,51.67
Time To Relax '23 Plug,Time To Relax '23 - Plug,25,8.33
Time To Relax '23 - Salt,Time To Relax '23 - Salt,50,
,,,0
Lovebug '23,Lovebug '23 - Pink main,84.5,28.17
Lovebug '23,Lovebug '23 - Blue,39.37,13.12
Lovebug '23,Lovebug '23 - Yellow,7.87,2.62
Lovebug '23,Lovebug '23 - Pink heart,3.4,1.13
,,,0
Dexter's Dragon egg,Dexter's Dragon egg - White,112.86,37.62
Dexter's Dragon egg,Dexter's Dragon egg - Gold,12.42,4.14
Dexter's Dragon egg,Dexter's Dragon egg - Orange,42.7,14.23
Dexter's Dragon egg,Dexter's Dragon egg - Spray,12,4
,,,0
Ostara'23,Ostara '23 PINK,175,58.33
Ostara'23,Ostara '23 YELLOW-insert,45,15
,,,0
Absolute Delight,Absolute Delight,166.5,55.5
,,,0
Sex N Shower,Sex N Shower Purple,8,2.67
Sex N Shower,Sex N Shower White,58,19.33
,,,0
Mistery Box - Ice Flower,Question block 1 - Ice Flower - Blue,91.3,30.43
Mistery Box - Ice Flower,Question block - Gold,356.08,118.69
Mistery Box - Ice Flower,Question block 1 - Ice Flower - White,18.26,6.09
Mistery Box - Ice Flower,Question block - Spray,10,0
Mistery Box - Ice Flower,Mistery Box - Ice Flower - Soap,70,0
Mistery Box - Blue Mushroom,Question block - Gold,356.08,118.69
Mistery Box - Blue Mushroom,Question block 3 - Blue Mushroom - Blue,54.78,18.26
Mistery Box - Blue Mushroom,Question block 3 - Blue Mushroom - White,54.78,18.26
Mistery Box - Blue Mushroom,Question block - Spray,10,0
Mistery Box - Blue Mushroom,Question block 3 - Blue Mushroom - Blue - Soap,58.5,0
Mistery Box - Fire Flower,Question block - Gold,356.08,118.69
Mistery Box - Fire Flower,Question block 2 - Fire Flower - Orange,73.04,24.35
Mistery Box - Fire Flower,Question block 2 - Fire Flower - White,36.52,12.17
Mistery Box - Fire Flower,Question block - Spray,10,0
Mistery Box - Fire Flower,Question block 2 - Fire Flower - Soap,70,0
Mistery Box - Red Mushroom,Question block - Gold,356.08,118.69
Mistery Box - Red Mushroom,Question block6 - Red Mushroom - Red,54.78,18.26
Mistery Box - Red Mushroom,Question block 6 - Red Mushroom - White,54.78,18.26
Mistery Box - Red Mushroom,Question block - Spray,10,0
Mistery Box - Red Mushroom,Question block6 - Red Mushroom - Soap,61.5,0
Mistery Box - Gold Coin,Question block - Gold,356.08,118.69
Mistery Box - Gold Coin,Question block 4 - Gold Coin - Purple,54.78,18.26
Mistery Box - Gold Coin,Question block 4 - Gold Coin - White,54.78,18.26
Mistery Box - Gold Coin,Question block - Spray,10,0
Mistery Box - Gold Coin,Question block 4 - Gold Coin - Soap,58,0
Mistery Box - Star Soap,Question block - Gold,356.08,118.69
Mistery Box - Star Soap,Question block 5 - Star Soup - Blue,18.26,6.09
Mistery Box - Star Soap,Question block 5 - Star Soup - Orange,36.52,12.17
Mistery Box - Star Soap,Question block 5 - Star Soup - Pink,36.52,12.17
Mistery Box - Star Soap,Question block5 - Star Soup - Purple,18.26,6.09
Mistery Box - Star Soap,Question block - Spray,10,0
Mistery Box - Star Soap,Question block5 - Star Soup - Soap,49.5,0
Tea Party '23  Dots,Tea Party '23  Dots,0.45,0.15
,,,0
Primrose Bath Bomb,Primrose Bath Bomb,5.1,1.7
Bluebell Bath Bomb,Bluebell Bath Bomb,3.1,1.03
,,,0
Yoga Bom Bath Bomb,Yoga Bom - Green,20.6,6.87
Yoga Bom Bath Bomb,Yoga Bom - Orange,110.6,36.87
Yoga Bom Bath Bomb,Yoga Bom - Purple,33.8,11.27
,,,0
Uchimizu'23,Uchimizu - Blue,38,12.67
Uchimizu'23,Uchimizu - Sugar,0.5,0
,,,0
Fuurin'23,Fuurin - White,43,14.33
Fuurin'23,Fuurin - Sugar,0.5,0
,,,0
Kokage'23,Kokage - Green,37.5,12.5
Kokage'23,Kokage - Sugar,0.5,0
,,,0
Hinata'23,Hinata - Orange,31.5,10.5
Hinata'23,Hinata - Yellow,7.5,2.5
,,,0
Hibana'23,Hibana - Brown,23,7.67
Hibana'23,Hibana - Salt,0.5,0
Hibana'23,Hibana - White,16.5,5.5
,,,0
San San'23,San San - Pink,39,13
San San'23,San San - Salt,1,0
,,,0
Intergalactic '23,Intergalactic '23 - Blue,128.68,42.89
Intergalactic '23,Intergalactic '23 - Red,17.34,5.78
Intergalactic '23,Intergalactic '23 - Yellow,17.34,5.78
Intergalactic '23,Intergalactic '23 - White,4.61,1.54
,,,0
Supernova,Supernova - Main,167.3,55.77
Supernova,Supernova - Paste,3.54,0
,,,0
Put the boot in,Put the boot in,50,16.67
,,,0
Witch's Cauldron Pink,Witch's Cauldron Pink,14.25,4.75
Witch's Cauldron Yellow,Witch's Cauldron Yellow,9.75,3.25
Witch's Cauldron Green,Witch's Cauldron Green,11.25,3.75
,,,0
Sponge Bob Silly,Sponge Bob Silly - Blue,11.25,3.75
Sponge Bob Silly,Sponge Bob Silly - White,11.25,3.75
Sponge Bob Silly,Sponge Bob Silly - Yellow,80,26.67
,,,0
Suprised Patrick,Suprised Patrick - Peach,68.5,22.83
Suprised Patrick,Suprised Patrick - Pink,13.5,4.5
Suprised Patrick,Suprised Patrick - Yellow,3.75,1.25
,,,0
Krabby Bathy Bun Top,Krabby Bathy Bun Top - Blue,21,7
Krabby Bathy Bun Top,Krabby Bathy Bun Top - Orange,60,20
,,,0
Krabby Bathy Bun Bottom,Krabby Bathy Bun Bottom,62,20.67
,,,0
Asteroid,Asteroid - Blue,76,25.33
Asteroid,Asteroid - Red,76,25.33
Asteroid,Asteroid - Silver,11,3.67
Asteroid,Asteroid - Spray,8,2.67
Lord Of Misrule '23,Lord Of Misrule '23 - Green,143,47.67
Lord Of Misrule '23,Lord Of Misrule '23 - Pink,21,7
,,,0
Ghostie '23,Ghostie Blue,9,3
Ghostie '23,Ghostie Pink,9,3
Ghostie '23,Ghostie White,94,31.33
Ghostie '23,Ghostie Purple,9,3
,,,0
Sweet Pudding '23,Sweet Pudding PINK,160,53.33
Sweet Pudding '23,Sweet Pudding WHITE,9.5,3.17
,,,0
Punkin Pumpkin '23,Pumpkin - Green,2.4,0.8
Punkin Pumpkin '23,Pumpkin - Orange,72,24
Punkin Pumpkin '23,Pumpkin - Yellow,27,9
,,,0
,,,0
Jason's Mummy '23,Jason's Mummy - Glow,11.25,3.75
Jason's Mummy '23,Jason's Mummy - White,105,35
Jason's Mummy '23,Jason's Mummy - Red decoration,1,0
,,,0
Penguin '23,Penguin - White,24.99,8.33
Penguin '23,Penguin - Purple,114,38
Penguin '23,Penguin - Pink insert,6,2
Penguin '23,Penguin - Decoration,0.07,0
,,,0
Lump Of Coal '23,Lump Of Coal - Black,64.21,21.4
Lump Of Coal '23,Lump Of Coal - Gold,19.67,6.56
Lump Of Coal '23,Lump Of Coal - Spray,4.14,1.38
,,,0
Groovy Fairy '23,Groovy Fairy - Pink,86.67,28.89
,,,0
Screaming Banshee '23,Screaming Banshee - Blue,19,6.33
Screaming Banshee '23,Screaming Banshee - Purple,53,17.67
,,,0
Snowy '23,Snowy - Blue,74,24.67
Snowy '23,Snowy - White,82,27.33
Snowy '23,Snowy - Spray,1,0
,,,0
,,,0
,,,0
,,,0
,,,
Magic Potion '23,Magic Potion - Blue,15,5
Magic Potion '23,Magic Potion - Pink,54,18
Magic Potion '23,Magic Potion - TURQUOISE,15,5
Magic Potion '23,Magic Potion - Purple,9,3
Magic Potion '23,Magic Potion -Spray,5,0
,,,0
Snow Fairy BAL '23,Snow Fairy'23 - Pink,127.47,42.49
Snow Fairy BAL '23,Snow Fairy'23 - White,38.23,12.74
,,,0
Magical Santa '23,Magical Santa ORANGE,19.5,6.5
Magical Santa '23,Magical Santa PINK,53,17.67
Magical Santa '23,Magical Santa RED,30.75,10.25
Magical Santa '23,Magical Santa WHITE,9,3
Magical Santa '23,Magical Santa YELLOW,19.5,6.5
,,,0
Screamo '23,Screamo'23 - Purple,83,27.67
Screamo '23,Screamo'23 - White,12.5,4.17
,,,0
UFO '23,UFO '23 - Yellow,140,46.67
UFO '23,UFO '23 - Blue Lid,32.5,10.83
UFO '23,UFO '23 - Salt,45,0
,,,0
Catch Me If You Can '23,Catch Me If You Can '23 - Blue,26,8.67
Catch Me If You Can '23,Catch Me If You Can '23 - Yellow,46,15.33
,,,0
The Wishing Lamp '23,The Wishing Lamp '23 - Gold,188,62.67
The Wishing Lamp '23,The Wishing Lamp '23 - Gold LID,26,8.67
The Wishing Lamp '23,The Wishing Lamp '23 - Blue,18,6
The Wishing Lamp '23,The Wishing Lamp '23 - Pink,18,6
The Wishing Lamp '23,The Wishing Lamp '23 - Pink Salt,1,0
The Wishing Lamp '23,The Wishing Lamp '23 - Blue Salt,1,0
The Wishing Lamp '23,The Wishing Lamp '23 - Purple Salt,1,0
The Wishing Lamp '23,The Wishing Lamp '23 - Spray,10,0
The Wishing Lamp '23,The Wishing Lamp '23 - Mixed Salts,3,0
Welcome Bath bomb,Welcome '23 BLUE,88.5,29.5
Welcome Bath bomb,Welcome '23 GREEN,82.5,27.5
Strawberry Santa ShFoam,Strawberry Santa ShFoam,88,29.33
Strawberry Santa ShFoam,Strawberry Santa - Cream of tartar,3,1
Gary The Snail '23,Gary The Snail '23 - Blue,67,22.33
Gary The Snail '23,Gary The Snail '23 - Green,5,1.67
Gary The Snail '23,Gary The Snail '23 - Pink,25,8.33
,,,0
Mermaid '23,Mermaid '23 - Blue,47.5,15.83
Mermaid '23,Mermaid '23 - Green,18,6
Mermaid '23,Mermaid '23 - Pink,18,6
Mermaid '23,Mermaid '23 - Purple,40,13.33
Mermaid '23,Mermaid '23 - Yellow,40,13.33
,,,0
Courage MINI BAL,Courage - Mini,83,27.67
Courage BAL '23,Courage - Orange,161.25,53.75
,,,0
Belonging MINI BAL,Belonging - Mini,86.25,28.75
Belonging BAL '23,Belonging - Purple,173,57.67
,,,0
Simplicity MINI BAL,Simplicity - Mini,83,27.67
Simplicity BAL '23,Simplicity - Green,165,55
,,,0
Energy MINI BAL,Energy - Mini Orange,43.5,14.5
Energy MINI BAL,Energy - Mini Yellow,43.5,14.5
Energy BAL '23,Energy - Orange,92,30.67
Energy BAL '23,Energy - Yellow,77,25.67
,,,0
Resilience MINI BAL,Resilience - Mini,83,27.67
Resilience BAL '23,Resilience - Green,164.63,54.88
,,,0
Inspiration MINI BAL,Inspiration - Mini Blue,41.25,13.75
Inspiration MINI BAL,Inspiration - Mini Purple,41.25,13.75
Inspiration BAL '23,Inspiration - Blue,77,25.67
Inspiration BAL '23,Inspiration - Purple,94,31.33
,,,0
Mischief MINI BAL,Mischief - Mini Green,43.5,14.5
Mischief MINI BAL,Mischief - Mini Pink,43.5,14.5
Mischief BAL '23,Mischief - Green,77,25.67
Mischief BAL '23,Mischief - Pink,94,31.33
,,,0
Empowerment MINI BAL,Empowerment - Mini Red,83,27.67
Empowerment BAL '23,Empowerment - Red,163.5,54.5
,,,0
Hope MINI BAL,Hope - Mini White,83,27.67
Hope MINI BAL,Hope - Mini Spray,2.5,0
Hope BAL '23,Hope - White,171,57
Hope BAL '23,Hope - Spray,5,0
,,,0
Nourished MINI BAL,Nourished - Mini Pink,85.5,28.5
Nourished BAL '23,Nourished - Pink,174,58
,,,0
Peace MINI BAL,Peace - Mini Blue,83,27.67
Peace BAL '23,Peace - Blue,165,55
,,,0
Barbie,Barbie - Pink,96.35,32.12
Barbie,Barbie - White,9.39,3.13
,,,0
Unicorn Poop Bath bomb'23,Unicorn Poop Bath bomb'23 - Pink,70,23.33
Unicorn Poop Bath bomb'23,Unicorn Poop Bath bomb'23 - Green,11,3.67
Unicorn Poop Bath bomb'23,Unicorn Poop Bath bomb'23 - Purple,11,3.67
Unicorn Poop Bath bomb'23,Unicorn Poop Bath bomb'23 - White,41,13.67
Unicorn Poop Bath bomb'23,Unicorn Poop Bath bomb'23 - Yellow,11,3.67
,,,0
Glitterball Bath Bomb v2,Glitterball Bath - Pink,42.75,14.25
Glitterball Bath Bomb v2,Glitterball Bath - Blue,42.75,14.25
Glitterball Bath Bomb v2,Glitterball Bath - Lilac,70.5,23.5
Glitterball Bath Bomb v2,Glitterball Bath - Spray,10,0
,,,0
World Piece'23 GCO,World Piece - Blue,85,28.33
World Piece'23 GCO,World Piece - Green,85,28.33
,,,0
Chocolate Santa '23 GCO,Chocolate Santa - Brown,136,45.33
Chocolate Santa '23 GCO,Chocolate Santa - White,13.6,4.53
,,,0
Snow Angel '23 GCO,Snow Angel - White,31,10.33
Snow Angel '23 GCO,Snow Angel - Yellow,51,17
Snow Angel '23 GCO,Snow Angel - Melt,10,0
Snow Angel '23 GCO,Snow Angel - Lustre,0.3,0
,,,0
Twinkle '23 GCO,Twinkle - Blue,70.18,23.39
Twinkle '23 GCO,Twinkle - Yellow,1.8,0.6
,,,0
,,,0
Ghostie '23,Ghostie - Blue,9,3
Ghostie '23,Ghostie - Pink,9,3
Ghostie '23,Ghostie - White,94,31.33
Ghostie '23,Ghostie - Purple,9,3
,,,0
,,,0
UFO '23 LID,UFO - Lid,32.5,10.83
,,,0
Butterbear '23 (Sheet),Butterbear '23,92,30.67
,,,0
Magical Santa '23,Magical Santa - Orange,19.5,6.5
Magical Santa '23,Magical Santa - Pink,53,17.67
Magical Santa '23,Magical Santa - Red,30.75,10.25
Magical Santa '23,Magical Santa - White,9,3
Magical Santa '23,Magical Santa - Yellow,19.5,6.5
,,,0
Shoot For Stars '23,Shoot For Stars '23,130.5,43.5
,,,0
Sleepy Bear '23 (Sheets),Sleepy Bear '23,83,27.67
Sleepy Bear '23 (Sheets),Sleepy Bear '23 - Topping,0.5,0.17
Snow Dragon '23 (Sheets),Snow Dragon BLUE,83,27.67
Snow Dragon '23 (Sheets),Snow Dragon MIXED SALTS,2.49,0.83
,,,0
Heart's Desire bath bomb,Heart's Desire - Main,69,23
Heart's Desire bath bomb,Heart's Desire - Decoration,0.12,0.04
,,,0
Party Kit - Ghostie '23,Party Kit Ghostie - Blue,90,30
Party Kit - Ghostie '23,Party Kit Ghostie - Pink,90,30
Party Kit - Ghostie '23,Party Kit Ghostie - White,94,31.33
Party Kit - Ghostie '23,Party Kit Ghostie - Purple,90,30
,,,0
PartyKit-Punkin Pumpkin,Pumpkin Party Kit - Green,24,8
PartyKit-Punkin Pumpkin,Pumpkin Party Kit - Orange,720,240
PartyKit-Punkin Pumpkin,Pumpkin Party Kit - Yellow,270,90
,,,0
Cempasuchil,Cempasuchil - Orange,40,13.33
Cempasuchil,Cempasuchil - Red,50,16.67
Cempasuchil,Cempasuchil - Yellow,69,23
