Product Name,Product / Color,System (G),System (Citric)
The Worlds Smallest Disco (Dots) Yellow,World's Smallest Disco '21 - Yellow,3.571,1.19
The Worlds Smallest Disco (Dots) Blue,World's Smallest Disco '21 - Blue,3.571,1.19
The Worlds Smallest Disco (Dots) Green,World's Smallest Disco '21 - Green,3.571,1.19
Breath Of God under the umbrella tree,BOG Green/umbrella,53.43,17.81
Breath Of God under the umbrella tree,BOG Brown/umbrella,24.52,8.17
Breath Of God under the umbrella tree,BOG Orange/umbrella,6.91,2.3
,,,0
,,,0
,,,0
Karma Shower Bomb,Karma Shower Bomb,39.217,5.1
,,,0
Not Sleepy,Not Sleepy Shower Bomb,42.293,5.5
Life out of balance - Koyaanisqatsi,Life out of balance - Koyaanisqatsi,46.898,6.09
Eyeball,,150.0851,50.03
,,35.532,11.84
,,2.128,0.71
Ectoplasm,,109.665,36.56
,,54.819,18.27
Perle De Sel,,106.764,35.59
,,38.52,12.84
,,38.52,12.84
Holey Night,,32.8,10.93
,,32.8,10.93
,,74.7,24.9
,,9.3,3.1
Snow Man,,26,8.67
,,2.5,0.83
,,99.438,33.15
,,27.5,9.17
,,155,51.67
Royalty/Crown,Royalty '18 Red Squares,2.280043,0.76
Royalty/Crown,Royalty '18 Gold,114.002146,38
Royalty/Crown,Royalty '18 Red,4.930592,1.64
Royalty/Crown,Royalty '18 Orange,5.016096,1.67
Royalty/Crown,Royalty '18 Green,1.232648,0.41
Kiki-Jiji/ tadaima,Kiki- tadaima bronze,106.65,35.55
Kiki-JIJI tadaima,Kiki- tadaima Gold,72.5,24.17
Black Rose,Black Rose '18 Black,120.383824,40.13
Black Rose,Black Rose '18 Purple,31.866176,10.62
Black Rose,Black Rose Melt,1.13191,0
Hulder,Hulder '18 Green,123.75,41.25
Hulder,Hulder '18 Purple,22.5,7.5
Hulder,Hulder '18 Green Salt,9,0
Hulder,Hulder '18 Purple Salt,9,0
Harajuku,Harajuku '18 Blue,59.27,19.76
Harajuku,Harajuku '18 Pink,59.27,19.76
Harajuku,Harajuku '18 Yellow,59.27,19.76
Kitsune,Kitsune '18 Gold,46.227273,15.41
Kitsune,Kitsune '18 Orange,77.045455,25.68
Kitsune,Kitsune '18 White,46.227273,15.41
Kitsune,Kitsune Spray,10,0
Goddess,Goddess Green,28.8624,9.62
Goddess,Goddess Lilac,50.5344,16.84
Goddess,Goddess Purple,59.9088,19.97
Goddess,Goddess Silver,28.6944,9.56
Little Bottle Of Calm,little bottle blue,24,8
Shoot For The S KIT,Shoot For The Stars Party Kit (10),1600,533.33
,,,0
Aubergine,Aubergine Blue,22.239,7.41
LOM kit main,LOM kit main,"2,550",850
LOM kit red,LOM kit red,"2,075",691.67
Cheery Christmas Pink KIT,Cheery Christmas Pink KIT,"1,875",625
Cheery Christmas White KIT,Cheery Christmas White KIT,187,62.33
Cheery Christmas Blue KIT,Cheery Christmas Blue KIT,562,187.33
The Olive Branch,Olive Branch White,84.375,28.13
The Olive Branch,Olive Branch Orange,84.375,28.13
Beak Street Shower Bomb,Beak street shower bomb,40.04,13.35
